Parameter(1): 3.364204887811791E7
Parameter(2): 3.364341203031914E7
Parameter(3): 3.364140622973042E7
Parameter(4): 3.364325764726116E7
Parameter(5): 3.364437958120142E7
Parameter(6): 3.36398107647887E7
Parameter(7): 3.3638488691221416E7
Parameter(8): 3.364348712696037E7
Parameter(9): 3.3641737569080785E7
Parameter(10): 3.3637310088011384E7
Parameter(11): 3.36479944109991E7
Parameter(12): 3.364627855395687E7
Parameter(13): 3.364023196498619E7
Parameter(14): 3.364203305868428E7
Parameter(15): 3.364511870002089E7
Parameter(16): 3.364943271775733E7
Parameter(17): 3.363967073317619E7
Parameter(18): 3.36535534734097E7
Parameter(19): 3.3647070492209576E7
Parameter(20): 3.36596225390657E7
