Parameter(1): 3.1163274078771794E8
Parameter(2): 3.11192492796295E8
Parameter(3): 3.105199361738557E8
Parameter(4): 3.0963034208299726E8
Parameter(5): 3.085449566370501E8
Parameter(6): 3.072720115470473E8
Parameter(7): 3.058223315612249E8
Parameter(8): 3.0419203198200196E8
Parameter(9): 3.023983644391203E8
Parameter(10): 3.004411979206742E8
Parameter(11): 2.983318494030618E8
Parameter(12): 2.9607157838844424E8
Parameter(13): 2.936708953103836E8
Parameter(14): 2.9113511785173035E8
Parameter(15): 2.8847525762652516E8
Parameter(16): 2.8569440228114367E8
Parameter(17): 2.8279815902776396E8
Parameter(18): 2.797935278784773E8
Parameter(19): 2.7668706233776367E8
Parameter(20): 2.7348190771462613E8
