    x,y
----------------
-70.0 , 14435.442763831343
-69.0 , 13864.174154946117
-68.0 , 13485.695972307109
-67.0 , 13093.919931553904
-66.0 , 12726.258141263703
-65.0 , 12360.383985082379
-64.0 , 12021.530404257364
-63.0 , 11569.516181625093
-62.0 , 11216.753716269564
-61.0 , 10863.102506678451
-60.0 , 10504.683642051137
-59.0 , 10137.203349816686
-58.0 , 9853.193347263463
-57.0 , 9436.172290900658
-56.0 , 9101.52955059915
-55.0 , 8724.258018076624
-54.0 , 8465.572326524767
-53.0 , 8118.793733242201
-52.0 , 7820.162306746095
-51.0 , 7547.340781542352
-50.0 , 7198.650244449949
-49.0 , 6885.747532791882
-48.0 , 6671.067372179789
-47.0 , 6471.397376978592
-46.0 , 6106.775662087897
-45.0 , 5903.151617189455
-44.0 , 5635.459629788482
-43.0 , 5265.625487434977
-42.0 , 5055.645887548942
-41.0 , 4760.177044043769
-40.0 , 4535.537037869755
-39.0 , 4313.783940208566
-38.0 , 4194.771753191127
-37.0 , 3882.0312202692094
-36.0 , 3651.8907088198903
-35.0 , 3501.2665253895684
-34.0 , 3277.7267632189364
-33.0 , 3146.592750226567
-32.0 , 2892.0634811143223
-31.0 , 2695.6307601999292
-30.0 , 2475.9890769030844
-29.0 , 2444.928625739593
-28.0 , 2297.505940219017
-27.0 , 2120.759981532073
-26.0 , 1962.74663227227
-25.0 , 1822.4986266171431
-24.0 , 1574.9084126857194
-23.0 , 1498.3586414647243
-22.0 , 1323.4430520282463
-21.0 , 1247.0560189569426
-20.0 , 1114.9557006303658
-19.0 , 1018.6945279258524
-18.0 , 934.8563636820084
-17.0 , 758.7061640114259
-16.0 , 682.0945278481865
-15.0 , 640.7075912988372
-14.0 , 506.250790371985
-13.0 , 412.9034235162801
-12.0 , 433.1040632961798
-11.0 , 392.45137474193666
-10.0 , 212.7237284113953
-9.0 , 116.33193741252913
-8.0 , 163.0210287999407
-7.0 , 63.66342299743451
-6.0 , 52.94804065619489
-5.0 , 101.40942924529364
-4.0 , 114.3676761347102
-3.0 , -64.8969801569682
-2.0 , -75.5679868960712
-1.0 , -10.160432618656458
0.0 , -70.16530847850834
1.0 , -21.28333365429873
2.0 , -27.025344930271984
3.0 , 32.604299899982834
4.0 , 36.504790864427775
5.0 , 64.07041790934535
6.0 , 100.83158514146264
7.0 , 254.95714855299545
8.0 , 316.46340512331847
9.0 , 293.8859751072972
10.0 , 322.6623070098208
11.0 , 479.0799708379201
12.0 , 533.0836446930509
13.0 , 625.2455366567715
14.0 , 676.3844078291108
15.0 , 782.0064120495501
16.0 , 777.0705128450273
17.0 , 931.7487731938372
18.0 , 1066.8678849627106
19.0 , 1181.798852529063
20.0 , 1260.6749441362383
21.0 , 1420.340519823972
22.0 , 1484.1597910085222
23.0 , 1666.341928772535
24.0 , 1823.178761532618
25.0 , 2083.2062289226487
26.0 , 2131.0838080072276
27.0 , 2384.4640899711835
28.0 , 2552.240688217397
29.0 , 2735.5012389676453
30.0 , 2857.767760652395
31.0 , 2975.9846608752696
32.0 , 3286.6551634655825
33.0 , 3430.4569544118126
34.0 , 3661.844875975918
35.0 , 3823.0514877566984
36.0 , 4093.8376760286237
37.0 , 4310.65669589501
38.0 , 4528.639733225021
39.0 , 4843.555259746069
40.0 , 4967.103413834681
41.0 , 5251.430193974746
42.0 , 5493.729137144709
43.0 , 5733.942834078996
44.0 , 6016.565785870097
45.0 , 6386.085551420219
46.0 , 6643.048829659926
47.0 , 6867.474860237332
48.0 , 7215.348882206494
49.0 , 7533.958589328835
50.0 , 7773.308298488716
51.0 , 7978.7602472896115
52.0 , 8451.754367880845
53.0 , 8674.552880965113
54.0 , 9104.819332807925
55.0 , 9407.151347022378
56.0 , 9630.633132640758
57.0 , 10044.995520018014
58.0 , 10440.827545912485
59.0 , 10804.595977306986
60.0 , 11080.824972581875
61.0 , 11395.25332248981
62.0 , 11838.424357668055
63.0 , 12247.194560604785
64.0 , 12551.166212819766
65.0 , 13043.240603660399
66.0 , 13471.730805175426
67.0 , 13863.783889492417
68.0 , 14150.059476471757
69.0 , 14692.97110222352
70.0 , 15032.986002301746
