-80,18803
-79,18331
-78,17865
-77,17405
-76,16951
-75,16503
-74,16061
-73,15625
-72,15195
-71,14771
-70,14353
-69,13941
-68,13535
-67,13135
-66,12741
-65,12353
-64,11971
-63,11595
-62,11225
-61,10861
-60,10503
-59,10151
-58,9805
-57,9465
-56,9131
-55,8803
-54,8481
-53,8165
-52,7855
-51,7551
-50,7253
-49,6961
-48,6675
-47,6395
-46,6121
-45,5853
-44,5591
-43,5335
-42,5085
-41,4841
-40,4603
-39,4371
-38,4145
-37,3925
-36,3711
-35,3503
-34,3301
-33,3105
-32,2915
-31,2731
-30,2553
-29,2381
-28,2215
-27,2055
-26,1901
-25,1753
-24,1611
-23,1475
-22,1345
-21,1221
-20,1103
-19,991
-18,885
-17,785
-16,691
-15,603
-14,521
-13,445
-12,375
-11,311
-10,253
-9,201
-8,155
-7,115
-6,81
-5,53
-4,31
-3,15
-2,5
-1,1
0,3
1,11
2,25
3,45
4,71
5,103
6,141
7,185
8,235
9,291
10,353
11,421
12,495
13,575
14,661
15,753
16,851
17,955
18,1065
19,1181
20,1303
21,1431
22,1565
23,1705
24,1851
25,2003
26,2161
27,2325
28,2495
29,2671
30,2853
31,3041
32,3235
33,3435
34,3641
35,3853
36,4071
37,4295
38,4525
39,4761
40,5003
41,5251
42,5505
43,5765
44,6031
45,6303
46,6581
47,6865
48,7155
49,7451
50,7753
51,8061
52,8375
53,8695
54,9021
55,9353
56,9691
57,10035
58,10385
59,10741
60,11103
61,11471
62,11845
63,12225
64,12611
65,13003
66,13401
67,13805
68,14215
69,14631
70,15053
71,15481
72,15915
73,16355
74,16801
75,17253
76,17711
77,18175
78,18645
79,19121
80,19603
