Parameter(1): 3.118866968073986E8
Parameter(2): 3.1188488181553465E8
Parameter(3): 3.1189587262905943E8
Parameter(4): 3.11879158087247E8
Parameter(5): 3.118799210874138E8
Parameter(6): 3.118891287710466E8
Parameter(7): 3.1189215520342946E8
Parameter(8): 3.1188776551828015E8
Parameter(9): 3.118966680673775E8
Parameter(10): 3.1186606757476294E8
Parameter(11): 3.119219352021516E8
Parameter(12): 3.1190080237754947E8
Parameter(13): 3.1191260535651207E8
Parameter(14): 3.1187204860613364E8
Parameter(15): 3.1189461277522063E8
Parameter(16): 3.1189978484909284E8
Parameter(17): 3.1190861303812546E8
Parameter(18): 3.1193133254226136E8
Parameter(19): 3.118929104086653E8
Parameter(20): 3.1192948849079496E8
