Parameter(1): 3.3532453012594584E7
Parameter(2): 3.339475081693348E7
Parameter(3): 3.318344494725667E7
Parameter(4): 3.291108370507644E7
Parameter(5): 3.257796320009041E7
Parameter(6): 3.219574408875813E7
Parameter(7): 3.176518838911966E7
Parameter(8): 3.1290229977146853E7
Parameter(9): 3.0773602593554866E7
Parameter(10): 3.0217504763697486E7
Parameter(11): 2.962561447717185E7
Parameter(12): 2.9004276310887486E7
Parameter(13): 2.8356802048586264E7
Parameter(14): 2.768599633308244E7
Parameter(15): 2.6994896867526367E7
Parameter(16): 2.628611433409E7
Parameter(17): 2.556172444084203E7
Parameter(18): 2.482462117971431E7
Parameter(19): 2.4076810307754144E7
Parameter(20): 2.3321105316543706E7
